model,rank,alpha,seed,trainable_parameters,full_sequence_loss,full_sequence_perplexity,answer_only_loss,answer_only_perplexity,train_loss,optimizer_updates,train_seconds,peak_allocated_gib,peak_reserved_gib
Base,0,,42,0,1.6708821270425123,5.316855871483982,1.4025100727785604,4.065391599411806,,,,,
LoRA r=4,4,8,42,573440,1.377973325470331,3.9668539533710407,1.279110266245106,3.5934410969761736,1.5289745947793125,250,497.13007800000196,3.5414552688598633,4.427734375
LoRA r=8,8,16,42,1146880,1.372484594277668,3.9451406022259463,1.27633409484939,3.583478923339614,1.502142676524818,250,410.5692462000002,3.545956611633301,4.43359375
LoRA r=16,16,32,42,2293760,1.3678385520960836,3.926853826036899,1.273447369439457,3.5731493202127664,1.481732602417469,250,253.33923929999582,3.554959297180176,4.443359375
LoRA r=32,32,64,42,4587520,1.365197001478023,3.916494531210271,1.2722962533310183,3.569038576897754,1.4667545393779873,250,253.52125809999416,3.572964668273926,4.458984375
